,year,mean,max,min,median
0,2000,9.12,29.77,0.79,
1,2001,9.11,27.3,0.77,
2,2002,9.14,26.76,0.69,
3,2003,9.13,26.65,0.73,
4,2004,8.86,26.6,0.68,
5,2005,8.74,26.6,0.67,
6,2006,8.5,26.53,0.72,
7,2007,8.39,26.42,0.83,
8,2008,8.26,26.3,0.89,
9,2009,8.36,26.44,0.9,
10,2010,8.5,26.47,0.72,
11,2011,8.56,26.4,0.32,
12,2012,8.41,26.25,0.6,
13,2013,8.31,26.21,0.94,
14,2014,8.31,26.22,0.52,
15,2015,8.5,26.1,0.56,
