,year,mean,max,min,median
0,2000,4.95,8.32,2.4,
1,2001,5.02,8.47,2.58,
2,2002,5.04,8.65,2.64,
3,2003,4.9,8.71,2.26,
4,2004,4.53,8.46,2.02,
5,2005,4.12,8.13,1.88,
6,2006,3.9,8.01,1.09,
7,2007,3.72,6.85,1.18,
8,2008,3.65,5.66,1.25,
9,2009,3.97,6.12,1.41,
10,2010,3.94,6.56,1.52,
11,2011,4.0,6.49,1.3,
12,2012,4.44,8.75,0.99,
13,2013,4.35,8.77,0.69,
14,2014,4.36,8.72,0.73,
15,2015,4.4,8.9,0.74,
