,year,mean,max,min,median
0,2000,10.82,32.2,1.94,10.22
1,2001,10.47,30.52,1.8,8.61
2,2002,10.45,31.94,2.55,8.48
3,2003,10.61,36.69,3.59,8.31
4,2004,10.7,37.16,4.03,8.3
5,2005,10.32,37.32,2.55,7.93
6,2006,9.45,36.39,2.83,7.14
7,2007,8.37,35.23,2.25,6.41
8,2008,7.85,33.93,2.1,6.37
9,2009,10.02,32.35,3.02,8.25
10,2010,11.05,33.14,2.97,8.39
11,2011,10.99,31.5,2.68,8.18
12,2012,11.35,31.1,2.19,8.85
13,2013,11.4,29.02,1.89,8.63
14,2014,10.83,28.22,1.45,8.66
15,2015,10.18,27.7,1.78,8.48
