,year,mean,max,min,median
0,2000,6.29,14.97,0.6,5.53
1,2001,6.41,14.7,0.6,5.61
2,2002,6.51,15.3,0.6,5.7
3,2003,6.46,14.5,0.6,5.93
4,2004,6.41,14.62,0.59,6.26
5,2005,6.41,14.8,0.58,6.59
6,2006,6.16,14.0,0.58,6.08
7,2007,6.0,13.28,0.4,5.7
8,2008,5.98,17.87,0.31,4.89
9,2009,6.26,20.71,0.31,5.59
10,2010,6.05,20.2,0.45,5.36
11,2011,5.89,19.63,0.56,4.96
12,2012,6.03,19.65,0.48,4.58
13,2013,6.13,19.42,0.25,4.6
14,2014,6.07,17.44,0.2,4.8
15,2015,6.23,17.9,0.17,4.86
