,year,mean,max,min,median
0,2000,8.87,20.79,2.44,
1,2001,8.81,21.1,2.63,
2,2002,9.23,20.62,2.61,
3,2003,9.17,22.18,2.33,
4,2004,8.71,20.97,1.85,
5,2005,8.24,19.45,1.95,
6,2006,7.67,19.15,1.91,
7,2007,7.27,18.93,1.79,
8,2008,7.22,18.79,1.58,
9,2009,8.35,19.38,1.67,
10,2010,8.04,19.95,2.5,
11,2011,7.87,20.03,2.26,
12,2012,7.66,19.85,2.07,
13,2013,7.75,22.21,2.44,
14,2014,7.66,21.59,2.02,
15,2015,7.49,20.85,2.4,
