,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita
289,Japan,2014,83.59,55.68,0.9,1.8,23.63,21.88,10.73,22.57,3.59,127276000,38475.4
290,Japan,2013,83.33,57.39,0.9,1.9,23.6,21.91,10.67,22.22,4.04,127445000,40898.65
291,Japan,2012,83.1,58.93,0.9,2.1,23.58,21.93,10.67,22.22,4.36,127629000,49145.28
292,Japan,2011,82.59,63.29,1.0,2.4,23.54,21.95,10.49,21.69,4.55,127833000,48760.08
293,Japan,2010,82.84,63.0,1.0,2.2,23.51,21.97,9.06,18.93,5.1,128070000,44968.16
294,Japan,2009,82.93,63.92,1.1,2.2,23.47,21.98,8.96,18.06,5.07,128047000,41309.0
295,Japan,2008,82.59,64.74,1.2,2.1,23.43,21.99,8.09,18.1,4.0,128063000,39876.3
296,Japan,2007,82.51,65.8,1.2,2.2,23.39,22.0,7.78,18.23,3.89,128001000,35779.02
297,Japan,2006,82.32,67.04,1.4,2.2,23.35,22.0,7.69,17.87,4.19,127854000,35991.55
298,Japan,2005,81.96,68.69,1.3,2.3,23.3,22.0,7.66,17.75,4.45,127773000,37812.9
299,Japan,2004,82.03,68.73,1.4,2.3,23.25,22.0,7.54,17.2,4.73,127761000,38298.98
300,Japan,2003,81.76,70.55,1.5,2.4,23.2,22.0,7.49,16.36,5.25,127718000,35387.04
301,Japan,2002,81.69,70.48,1.6,2.5,23.15,22.01,7.35,16.06,5.39,127445000,32820.79
302,Japan,2001,81.42,71.77,1.7,2.5,23.11,22.01,7.24,15.95,5.02,127149000,34406.18
303,Japan,2000,81.08,72.85,1.7,2.8,23.06,22.02,7.03,15.07,4.75,126843000,39169.36
304,Bahamas,2015,73.1,180.3,4.5,3.6,27.2,28.98,5.16,12.84,12.0,392697,29722.41
305,Bahamas,2014,73.37,185.8,4.7,4.0,27.12,28.9,5.54,14.21,13.8,389131,28201.56
306,Bahamas,2013,73.02,185.0,5.2,3.9,27.03,28.82,5.59,14.02,16.18,385650,26956.57
307,Bahamas,2012,72.75,186.4,5.6,4.3,26.95,28.74,5.32,14.06,14.02,382061,28059.66
308,Bahamas,2011,72.56,186.2,6.2,4.8,26.86,28.66,5.32,13.9,14.52,377950,26644.93
309,Bahamas,2010,72.73,186.1,6.8,5.0,26.77,28.58,5.26,15.44,14.43,373272,27046.66
310,Bahamas,2009,72.58,185.7,7.3,5.1,26.69,28.51,5.15,15.01,14.25,368057,27120.69
311,Bahamas,2008,72.67,185.5,7.8,5.4,26.6,28.43,4.86,14.47,8.18,362795,29013.63
312,Bahamas,2007,72.68,185.5,8.2,5.4,26.52,28.35,4.5,13.5,7.88,357666,29687.87
313,Bahamas,2006,72.86,190.3,8.5,5.9,26.43,28.28,4.31,12.73,7.54,352664,28829.85
314,Bahamas,2005,72.76,187.0,9.0,6.4,26.35,28.2,4.03,12.86,10.2,347804,28280.87
315,Bahamas,2004,72.48,192.4,8.8,6.8,26.26,28.12,4.05,13.04,10.2,343089,26393.41
316,Bahamas,2003,72.4,194.1,8.8,7.3,26.17,28.04,4.02,13.16,10.84,338490,26204.88
317,Bahamas,2002,72.23,203.1,8.5,7.7,26.08,27.96,3.81,12.95,9.05,334002,26590.14
318,Bahamas,2001,72.11,213.9,8.4,7.9,26.0,27.87,3.92,13.24,6.87,329626,25234.14
319,Bahamas,2000,72.04,219.7,8.4,8.2,25.91,27.78,3.8,12.66,7.24,325014,24849.61
