,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
26,Barbados,2005,74.89,125.4,9.8,5.9,25.59,28.45,6.78,12.26,9.08,269477,14173.75,13610.0
25,Barbados,2006,75.07,124.6,10.0,5.6,25.67,28.53,6.58,12.22,8.73,270425,15595.17,14630.0
24,Barbados,2007,75.34,122.7,9.9,5.4,25.75,28.61,6.06,10.53,7.41,271444,17225.53,15950.0
23,Barbados,2008,75.45,120.4,9.8,5.2,25.84,28.7,6.48,11.28,8.12,272635,17570.78,16600.0
22,Barbados,2009,75.68,118.4,9.6,5.2,25.92,28.78,7.15,11.66,10.02,273791,16314.67,16150.0
28,Barbados,2003,74.47,129.7,9.8,6.0,25.42,28.28,6.69,11.64,11.0,267499,11998.18,11660.0
21,Barbados,2010,75.71,117.7,9.5,5.2,26.0,28.87,6.77,10.73,10.69,274711,16507.43,16710.0
20,Barbados,2011,75.92,116.9,9.2,4.8,26.09,28.95,6.9,10.61,11.19,275486,16924.07,16990.0
19,Barbados,2012,76.1,114.7,9.2,4.6,26.17,29.04,7.78,12.41,11.59,276197,16736.92,18550.0
18,Barbados,2013,76.28,114.5,9.1,4.6,26.26,29.13,7.4,10.81,11.55,276865,16952.13,18530.0
17,Barbados,2014,76.48,114.5,8.8,4.7,26.34,29.23,6.97,9.91,12.17,277493,16980.03,18450.0
16,Barbados,2015,76.65,114.2,8.4,4.6,26.43,29.32,6.83,9.07,9.8,278083,17040.42,18010.0
31,Barbados,2000,74.09,138.1,9.1,6.2,25.17,28.01,5.33,12.28,9.35,264657,11560.25,11170.0
388,Belize,2011,72.65,171.2,9.9,8.2,27.17,30.15,4.55,12.7,8.43,329538,5519.34,5150.0
389,Belize,2010,72.27,172.1,9.6,9.2,27.08,30.03,4.5,12.76,8.42,322106,5399.06,5050.0
390,Belize,2009,71.82,169.3,9.1,10.3,26.99,29.91,4.53,12.48,8.34,314171,5352.1,5280.0
391,Belize,2008,71.15,165.8,8.7,11.2,26.9,29.79,4.54,13.38,8.18,305671,5665.97,5170.0
392,Belize,2007,70.66,165.6,8.2,11.9,26.81,29.68,4.08,10.77,8.51,297173,5717.93,5210.0
395,Belize,2004,69.23,175.7,9.8,11.4,26.53,29.33,3.45,7.88,10.6,272128,5123.6,5000.0
394,Belize,2005,69.38,169.8,9.1,11.9,26.62,29.45,3.47,8.33,10.91,280375,5236.37,5050.0
396,Belize,2003,68.91,181.5,10.3,11.3,26.43,29.21,3.56,7.14,10.36,263998,4937.09,4830.0
397,Belize,2002,68.75,187.5,11.0,11.1,26.33,29.09,3.59,7.51,10.04,255987,4844.23,4550.0
398,Belize,2001,68.36,192.5,11.5,11.2,26.23,28.96,3.49,6.83,9.07,248100,4708.29,4470.0
399,Belize,2000,68.56,193.9,11.9,11.7,26.13,28.83,2.98,5.85,10.81,240406,4720.17,4480.0
387,Belize,2012,73.24,169.1,10.4,7.4,27.26,30.26,4.36,12.94,8.38,337059,5635.52,5310.0
393,Belize,2006,70.09,167.6,8.5,11.8,26.72,29.56,3.57,9.33,9.39,288729,5486.83,5160.0
384,Belize,2015,73.19,165.8,9.5,5.9,27.54,30.63,4.65,11.35,7.58,359871,6098.6,5790.0
